H	M
-26457.92188	-825.28316
-26557.94629	-772.56636
-26657.99805	-815.1606
-26763.02441	-776.91582
-26862.93066	-828.74145
-26962.91699	-776.26433
-27067.91895	-785.20925
-27162.94824	-767.72213
-27253.11914	-891.55048
-27353.4082	-729.42105
-27458.6416	-798.70816
-27558.80176	-811.61575
-27653.87695	-757.96085
-27748.84863	-820.74108
-27853.98535	-815.22225
-27954.02344	-809.04171
-28048.875	-653.39302
-28158.83789	-777.17442
-28258.94043	-811.09676
-28348.98242	-754.26592
-28448.97754	-814.05942
-28553.98926	-788.95643
-28663.92871	-770.28429
-28783.86426	-796.39852
-28878.83301	-843.50585
-28958.94434	-783.14285
-29053.98535	-808.48138
-29148.89258	-782.59523
-29253.92383	-720.37663
-29353.96875	-832.47861
-29454.02539	-809.85986
-29553.98047	-742.33838
-29648.73242	-854.42883
-29748.48535	-817.03258
-29895.58301	-721.25948
-29996.24023	-681.2327
-29999.63184	-766.28587
-29955.64844	-685.36584
-29879.29492	-795.26951
-29781.41895	-797.43682
-29675.13574	-751.69508
-29582.0918	-808.78768
-29493.55664	-732.43136
-29390.0918	-734.06309
-29286.63477	-812.28524
-29192.97656	-832.24036
-29089.34082	-759.70734
-28990.58984	-798.03339
-28896.84863	-799.07059
-28788.16406	-746.68158
-28684.35547	-837.12251
-28580.5918	-776.95366
-28471.72949	-742.49089
-28377.62793	-707.42187
-28288.35254	-781.04918
-28199.04004	-751.99337
-28109.75586	-757.34201
-28010.36719	-750.12033
-27910.88281	-756.02862
-27816.33887	-731.63901
-27716.75781	-838.47701
-27617.12402	-785.61581
-27517.34375	-797.73461
-27417.3623	-894.09981
-27317.46387	-649.29276
-27217.67188	-896.00188
-27102.92578	-736.5513
-26993.12012	-789.42144
-26898.32715	-783.40605
-26798.68555	-823.02265
-26703.93262	-760.68451
-26609.08105	-786.94693
-26509.2666	-865.90078
-26409.52637	-700.99026
-26309.81836	-833.57507
-26210.08984	-758.15755
-26115.37109	-735.64521
-26020.64258	-797.45361
-25920.77832	-776.04665
-25820.93555	-749.43525
-25716.22168	-788.10953
-25616.45313	-783.95416
-25516.67578	-698.20171
-25411.96387	-795.98545
-25317.07617	-752.07238
-25217.37988	-721.48572
-25107.91406	-769.77773
-25008.2041	-761.56364
-24913.44434	-736.08778
-24818.62793	-790.51193
-24723.78418	-806.12941
-24624.05566	-775.37474
-24524.34473	-824.15333
-24419.52148	-774.15713
-24314.69336	-809.56953
-24219.94531	-764.16291
-24120.21484	-769.93472
-24020.47656	-773.99847
-23920.7207	-787.17283
-23810.94922	-764.76134
-23716.15137	-710.20863
-23621.41699	-822.98751
-23516.67969	-791.1904
-23426.90723	-756.33015
-23332.07422	-812.02205
-23227.27441	-787.86846
-23127.46875	-736.62887
-23022.56348	-787.2084
-22917.66797	-780.5201
-22822.78223	-777.77867
-22727.94922	-793.39688
-22628.16992	-723.21257
-22528.33203	-729.92562
-22428.42969	-802.64972
-22323.73145	-747.85819
-22219.0459	-782.03929
-22119.1748	-805.41992
-22009.40039	-757.19734
-21914.60156	-724.66318
-21824.83887	-831.36816
-21720.10156	-794.49294
-21625.29785	-748.93398
-21525.57813	-780.12139
-21425.80176	-748.63475
-21330.93164	-752.57268
-21226.11426	-774.57968
-21126.38086	-793.36486
-21031.62012	-725.62582
-20926.86816	-774.56385
-20827.01855	-789.94586
-20727.23535	-763.11286
-20622.60547	-806.94385
-20522.93848	-694.21657
-20423.26465	-768.75568
-20333.46094	-810.07809
-20238.63574	-761.2341
-20133.8877	-772.66764
-20039.11328	-800.01761
-19944.31152	-745.60763
-19834.5625	-821.04056
-19724.75879	-781.43156
-19624.87793	-776.82625
-19520.11133	-757.75822
-19425.4248	-829.28734
-19335.72949	-763.90203
-19230.9541	-788.7105
-19136.08008	-789.28798
-19041.2168	-785.68115
-18931.49121	-774.73741
-18836.74121	-777.39016
-18746.89746	-750.62357
-18642.07227	-762.57227
-18542.2793	-786.67866
-18437.48926	-808.46691
-18332.66309	-736.00934
-18242.75684	-795.7337
-18142.91992	-806.54594
-18043.17969	-753.15304
-17943.42773	-789.7409
-17833.69043	-812.47615
-17733.87988	-777.4406
-17639.04199	-775.95574
-17539.19434	-805.62582
-17444.37988	-790.00445
-17344.68848	-760.58322
-17239.96289	-792.91826
-17145.20215	-755.05643
-17045.43359	-770.48638
-16940.62207	-773.41312
-16840.81348	-736.90669
-16736.02539	-809.08745
-16636.27734	-794.59888
-16541.47656	-753.11662
-16436.65576	-803.51976
-16316.90918	-776.36959
-16207.18457	-765.22668
-16107.58838	-810.79692
-16022.95654	-737.91887
-15938.2334	-751.84043
-15838.56982	-761.16118
-15748.71436	-790.52873
-15653.78564	-747.32847
-15548.89844	-748.21105
-15444.02441	-805.96947
-15344.17969	-789.39399
-15244.29883	-811.10202
-15144.37842	-731.72206
-15039.44824	-773.81852
-14934.61523	-794.64153
-14834.71387	-719.01127
-14734.79053	-734.77997
-14639.87207	-831.27628
-14544.98438	-768.67099
-14440.07422	-742.39482
-14340.09277	-792.63369
-14245.22217	-814.43034
-14145.42676	-728.79994
-14050.56543	-760.91304
-13945.59814	-790.85298
-13835.63428	-753.34198
-13735.59473	-775.83531
-13630.46729	-774.81491
-13530.37305	-793.34503
-13435.51709	-793.55436
-13330.62988	-758.72453
-13235.65039	-794.93744
-13140.86963	-795.99017
-13030.9873	-764.07587
-12926.02588	-737.786
-12831.08887	-830.69717
-12741.17822	-764.01441
-12646.34033	-727.97965
-12546.47607	-788.44689
-12451.51953	-785.68122
-12356.63428	-782.04219
-12251.80176	-785.78974
-12151.92432	-792.36493
-12057.06104	-776.24352
-11957.15918	-806.92773
-11852.22168	-794.134
-11752.34766	-800.98192
-11652.45605	-813.11866
-11552.52979	-761.10043
-11457.77246	-830.67899
-11353.05957	-804.09802
-11253.21826	-787.09223
-11158.31494	-745.67041
-11053.43604	-799.8051
-10948.5376	-765.94189
-10848.62793	-742.98501
-10748.68408	-824.78653
-10653.88184	-813.21115
-10554.02148	-773.11437
-10449.01514	-788.61875
-10349.07275	-758.43178
-10244.16553	-806.09754
-10139.37402	-756.97512
-10044.479	-737.561
-9949.47656	-802.47698
