H	M
-3720.92871	-6.07017E-5
-3691.10999	-6.15172E-5
-3678.02405	-6.14078E-5
-3633.95642	-6.03959E-5
-3599.85022	-6.15721E-5
-3586.81177	-6.13229E-5
-3563.87769	-6.17374E-5
-3537.84119	-6.04471E-5
-3494.92285	-6.11631E-5
-3480.97009	-6.104E-5
-3436.13538	-6.03347E-5
-3423.21313	-5.92512E-5
-3400.28674	-6.02823E-5
-3357.31665	-6.01941E-5
-3325.32996	-5.86207E-5
-3290.32861	-5.71823E-5
-3259.27893	-5.89338E-5
-3245.3053	-5.79199E-5
-3220.23401	-5.98447E-5
-3174.34021	-5.81795E-5
-3159.29321	-5.73819E-5
-3113.2915	-5.59905E-5
-3098.37158	-5.9227E-5
-3051.3335	-5.87054E-5
-3019.37598	-5.73532E-5
-2989.35889	-5.73971E-5
-2977.396	-5.65861E-5
-2952.41541	-5.73204E-5
-2926.40137	-5.60257E-5
-2879.49951	-5.59347E-5
-2865.58643	-5.58742E-5
-2839.64856	-5.6559E-5
-2794.60583	-5.60956E-5
-2780.64819	-5.53794E-5
-2738.61169	-5.43382E-5
-2723.61499	-5.54392E-5
-2673.62292	-5.49358E-5
-2642.59558	-5.44329E-5
-2611.48877	-5.51471E-5
